experiment,image,seed,run_dir,final_image_path,loss,clip_loss,sparse_loss,ink_loss,l2_loss,edge_loss,active_count,active_ratio,ink_mass,whitespace_ratio,n_strokes,render_profile,enable_gate,layered_init
full,camel,seed_1,runs_strokes/full/camel/seed_1,runs_strokes/full/camel/seed_1/final_highres.png,0.5613531470298767,0.01220703125,0.3127750754356384,0.16239632666110992,0.9453192353248596,1.6640300750732422,20.0,0.2777777777777778,0.16239632666110992,0.7393574714660645,72,ink,True,True
full,camel,seed_2,runs_strokes/full/camel/seed_2,runs_strokes/full/camel/seed_2/final_highres.png,0.5563989877700806,0.01123046875,0.2812138795852661,0.16506630182266235,0.9455966949462891,1.6560238599777222,16.0,0.2222222222222222,0.16506630182266235,0.7403738498687744,72,ink,True,True
full,camel,seed_0,runs_strokes/full/camel/seed_0,runs_strokes/full/camel/seed_0/final_highres.png,0.5444889068603516,0.01025390625,0.33004942536354065,0.15658636391162872,0.9600302577018738,1.5825811624526978,20.0,0.2777777777777778,0.15658636391162872,0.7394969463348389,72,ink,True,True
strokes_48,camel,seed_1,runs_strokes/strokes_48/camel/seed_1,runs_strokes/strokes_48/camel/seed_1/final_highres.png,0.6020101308822632,0.01708984375,0.32909315824508667,0.13762857019901276,0.9361260533332825,1.8382320404052734,13.0,0.2708333333333333,0.13762857019901276,0.7650868892669678,48,ink,True,True
strokes_48,camel,seed_2,runs_strokes/strokes_48/camel/seed_2,runs_strokes/strokes_48/camel/seed_2/final_highres.png,0.632378101348877,0.02197265625,0.338061660528183,0.15511035919189453,0.945119321346283,1.9367343187332153,13.0,0.2708333333333333,0.15511035919189453,0.7607222199440002,48,ink,True,True
strokes_48,camel,seed_0,runs_strokes/strokes_48/camel/seed_0,runs_strokes/strokes_48/camel/seed_0/final_highres.png,0.6260284185409546,0.02197265625,0.36652278900146484,0.13197049498558044,0.9538136124610901,1.9021130800247192,15.0,0.3125,0.13197049498558044,0.7609414458274841,48,ink,True,True
strokes_96,camel,seed_1,runs_strokes/strokes_96/camel/seed_1,runs_strokes/strokes_96/camel/seed_1/final_highres.png,0.5181995630264282,0.01220703125,0.28102803230285645,0.16275088489055634,0.9468746781349182,1.47819983959198,21.0,0.21875,0.16275088489055634,0.7341158986091614,96,ink,True,True
strokes_96,camel,seed_2,runs_strokes/strokes_96/camel/seed_2,runs_strokes/strokes_96/camel/seed_2/final_highres.png,0.5160918235778809,0.01025390625,0.2816625237464905,0.1561526507139206,0.939317524433136,1.4854182004928589,22.0,0.22916666666666666,0.1561526507139206,0.7300302982330322,96,ink,True,True
strokes_96,camel,seed_0,runs_strokes/strokes_96/camel/seed_0,runs_strokes/strokes_96/camel/seed_0/final_highres.png,0.5268384218215942,0.013671875,0.28439778089523315,0.16775037348270416,0.9535019993782043,1.5027925968170166,24.0,0.25,0.16775037348270416,0.7425262928009033,96,ink,True,True
