experiment,image,num_seeds,loss_mean,loss_std,clip_loss_mean,clip_loss_std,sparse_loss_mean,sparse_loss_std,ink_loss_mean,ink_loss_std,l2_loss_mean,l2_loss_std,edge_loss_mean,edge_loss_std,active_count_mean,active_count_std,active_ratio_mean,active_ratio_std,ink_mass_mean,ink_mass_std,whitespace_ratio_mean,whitespace_ratio_std
full,camel,3,0.5540803472201029,0.007077321509528718,0.01123046875,0.0007973599423122325,0.30801279346148175,0.020219415258055318,0.16134966413180032,0.0035401472268294073,0.9503153959910074,0.006870378422684003,1.6342116991678874,0.03665432317533491,18.666666666666668,1.8856180831641267,0.25925925925925924,0.026189140043946214,0.16134966413180032,0.0035401472268294073,0.7397427558898926,0.0004498688826688582
strokes_48,camel,3,0.6201388835906982,0.013078439611640725,0.020345052083333332,0.0023017798866749595,0.3445592025915782,0.0159563541008777,0.1415698081254959,0.009849309490738454,0.9450196623802185,0.0072212596272885066,1.8923598130544026,0.04080048505752952,13.666666666666666,0.9428090415820634,0.2847222222222222,0.019641855032959663,0.1415698081254959,0.009849309490738454,0.7622501850128174,0.002007848478037045
strokes_96,camel,3,0.5203766028086344,0.0046495139611882905,0.012044270833333334,0.0014001180447660525,0.2823627789815267,0.0014620919806001536,0.16221796969572702,0.00474972225918177,0.9465647339820862,0.005794933499775131,1.488803545633952,0.010321380665900562,22.333333333333332,1.247219128924647,0.23263888888888887,0.012991865926298408,0.16221796969572702,0.00474972225918177,0.735557496547699,0.005202315095055461
