experiment,num_seeds,clip_loss_mean,edge_loss_mean,l2_loss_mean,active_ratio_mean,ink_mass_mean,whitespace_ratio_mean
full,3,0.01123046875,1.6342116991678874,0.9503153959910074,0.25925925925925924,0.16134966413180032,0.7397427558898926
strokes_48,3,0.020345052083333332,1.8923598130544026,0.9450196623802185,0.2847222222222222,0.1415698081254959,0.7622501850128174
strokes_96,3,0.012044270833333334,1.488803545633952,0.9465647339820862,0.23263888888888887,0.16221796969572702,0.735557496547699
